0,29,248.36
1,35,236.6
2,40,228.54
3,45,221.62
4,51,214.46
5,56,209.23
6,62,203.66
7,67,199.49
8,73,194.96
9,78,191.52
10,83,188.33
11,89,184.79
12,95,181.53
13,100,179
14,105,176.61
15,111,173.93
16,116,171.81
17,122,169.42
18,128,167.16
19,134,165.03
20,139,163.34
21,144,161.72
22,149,160.16
23,155,158.37
24,161,156.67
25,167,155.04
26,173,153.47
27,178,152.22
28,183,151.01
29,188,149.83
30,194,148.47
31,200,147.16
32,206,145.9
33,212,144.67
34,217,143.68
35,222,142.72
36,228,141.6
37,233,140.7
38,238,139.81
39,244,138.78
40,249,137.94
41,254,137.12
42,259,136.33
43,265,135.39
44,271,134.48
45,276,133.74
46,281,133.01
47,287,132.17
48,293,131.34
49,298,130.66
50,304,129.87
51,310,129.09
52,316,128.33
53,322,127.59
54,328,126.87
55,334,126.16
56,339,125.58
57,344,125.01
58,349,124.45
59,354,123.9
60,359,123.36
61,364,122.83
62,370,122.2
63,376,121.58
64,382,120.98
65,387,120.48
66,392,120
67,397,119.52
68,402,119.04
69,407,118.58
70,412,118.12
71,417,117.66
72,422,117.22
73,427,116.78
74,432,116.34
75,437,115.91
76,442,115.49
77,447,115.07
78,452,114.66
79,456,114.34
80,461,113.93
81,466,113.54
82,471,113.14
83,476,112.76
84,481,112.37
85,486,112
86,491,111.62
87,496,111.25
88,501,110.89
89,506,110.53
90,511,110.17
91,516,109.82
92,522,109.4
93,528,108.99
94,534,108.58
95,540,108.18
96,545,107.85
97,550,107.53
98,554,107.27
99,561,106.82
100,565,106.57
101,569,106.32
102,573,106.07
103,578,105.76
104,583,105.45
105,588,105.15
106,591,104.97
107,596,104.68
108,601,104.38
109,606,104.09
110,611,103.8
111,616,103.52
112,621,103.23
113,626,102.95
114,631,102.68
115,636,102.4
116,641,102.13
117,646,101.86
118,651,101.59
119,656,101.32
120,661,101.06
121,666,100.8
122,671,100.54
123,676,100.29
124,681,100.03
125,686,99.781
126,691,99.532
127,696,99.285
128,701,99.04
129,706,98.797
130,711,98.557
131,716,98.318
132,721,98.081
133,726,97.846
134,731,97.613
135,736,97.382
136,741,97.153
137,746,96.925
138,751,96.7
139,756,96.476
140,761,96.254
141,766,96.033
142,771,95.814
143,776,95.597
144,781,95.381
145,786,95.167
146,791,94.955
147,797,94.702
148,802,94.493
149,807,94.286
150,812,94.08
151,817,93.875
152,822,93.672
153,827,93.471
154,832,93.27
155,837,93.072
156,842,92.874
157,847,92.678
158,852,92.483
159,857,92.29
160,862,92.098
161,867,91.907
162,872,91.718
163,877,91.53
164,882,91.343
165,887,91.157
166,892,90.972
167,897,90.789
168,902,90.607
169,907,90.426
170,912,90.246
171,917,90.067
172,922,89.89
173,927,89.714
174,932,89.538
175,937,89.364
176,942,89.191
177,947,89.019
178,952,88.848
179,957,88.678
180,962,88.509
181,967,88.341
182,972,88.174
183,977,88.008
184,982,87.844
185,987,87.68
186,992,87.517
187,997,87.355
188,1002,87.194
189,1007,87.034
190,1012,86.874
191,1017,86.716
192,1022,86.559
193,1027,86.402
194,1032,86.247
195,1037,86.092
196,1042,85.938
197,1047,85.785
198,1052,85.633
199,1057,85.482
200,1062,85.331
201,1067,85.181
202,1072,85.033
203,1077,84.885
204,1082,84.737
205,1087,84.591
206,1092,84.445
207,1097,84.3
208,1102,84.156
209,1107,84.013
210,1112,83.87
211,1117,83.728
212,1122,83.587
213,1127,83.447
214,1132,83.307
215,1137,83.168
216,1142,83.03
217,1147,82.892
218,1161,82.511
219,1166,82.376
220,1171,82.242
221,1176,82.108
222,1181,81.975
223,1186,81.843
224,1191,81.711
225,1196,81.58
226,1201,81.45
227,1206,81.32
228,1211,81.191
229,1216,81.063
230,1221,80.935
231,1226,80.807
232,1231,80.681
233,1236,80.555
234,1241,80.429
235,1246,80.304
236,1251,80.18
237,1256,80.056
238,1261,79.933
239,1266,79.811
240,1271,79.689
241,1276,79.567
242,1281,79.446
243,1286,79.326
244,1291,79.206
245,1296,79.087
246,1301,78.968
247,1306,78.85
248,1311,78.732
249,1316,78.615
250,1321,78.498
251,1326,78.382
252,1331,78.266
253,1336,78.151
254,1341,78.037
255,1346,77.922
256,1351,77.809
257,1356,77.696
258,1361,77.583
259,1366,77.471
260,1371,77.359
261,1376,77.248
262,1381,77.137
263,1386,77.027
264,1391,76.917
265,1396,76.807
266,1401,76.698
267,1406,76.59
268,1411,76.482
269,1416,76.374
270,1421,76.267
271,1426,76.16
272,1431,76.054
273,1436,75.948
274,1441,75.843
275,1446,75.738
276,1451,75.633
277,1456,75.529
278,1461,75.425
279,1466,75.322
280,1471,75.219
281,1476,75.116
282,1481,75.014
283,1486,74.912
284,1491,74.811
285,1496,74.71
286,1501,74.61
287,1506,74.509
288,1511,74.41
289,1516,74.31
290,1521,74.211
291,1526,74.113
292,1531,74.014
293,1536,73.916
294,1541,73.819
295,1546,73.722
296,1551,73.625
297,1556,73.529
298,1561,73.432
299,1566,73.337
300,1571,73.241
301,1576,73.146
302,1581,73.052
303,1586,72.957
304,1591,72.863
305,1596,72.77
306,1601,72.676
307,1606,72.584
308,1611,72.491
309,1616,72.399
310,1621,72.307
311,1626,72.215
312,1631,72.124
313,1636,72.033
314,1641,71.942
315,1646,71.852
316,1651,71.762
317,1656,71.672
318,1661,71.583
319,1666,71.494
320,1661,71.583
321,1667,71.476
322,1672,71.387
323,1677,71.299
324,1682,71.211
325,1687,71.123
326,1692,71.035
327,1697,70.948
328,1702,70.861
329,1707,70.775
330,1712,70.688
331,1717,70.602
